area_type,availability,location,size,society,total_sqft,bath,balcony,price,bedrooms,price_per_sqft
Super built-up  Area,Ready To Move,Horamavu Agara,2 BHK,Maows M,1150.0,2.0,1.0,42.0,2.0,0.036521739130434785
Super built-up  Area,Ready To Move,Hormavu,3 BHK,ARureig,1385.0,2.0,1.0,69.25,3.0,0.05
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,HiahsLa,2061.0,4.0,2.0,175.0,3.0,0.0849102377486657
Super built-up  Area,Ready To Move,Kathriguppe,3 BHK,GrrvaGr,1335.0,2.0,3.0,73.43,3.0,0.05500374531835207
Super built-up  Area,Ready To Move,Bellandur,2 BHK,Goner C,1015.0,2.0,1.0,60.0,2.0,0.059113300492610835
Built-up  Area,Ready To Move,Banashankari Stage III,6 Bedroom,GrrvaGr,3000.0,6.0,2.0,150.0,6.0,0.05
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Prarkun,1108.0,2.0,1.0,63.0,2.0,0.05685920577617329
Super built-up  Area,Ready To Move,Frazer Town,2 BHK,GrrvaGr,1180.0,2.0,1.0,105.0,2.0,0.08898305084745763
Super built-up  Area,18-Sep,Hennur Road,3 BHK,Maity W,1445.0,2.0,1.0,83.0,3.0,0.057439446366782006
Super built-up  Area,Ready To Move,Vasanthapura,2 BHK,GrrvaGr,1500.0,2.0,2.0,65.0,2.0,0.043333333333333335
Plot  Area,Ready To Move,Ramamurthy Nagar,1 Bedroom,GrrvaGr,1276.0,1.0,1.0,48.0,1.0,0.03761755485893417
Super built-up  Area,18-Jun,KR Puram,2 BHK,MCnexva,1085.0,2.0,1.0,46.5,2.0,0.04285714285714286
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,GrrvaGr,1050.0,2.0,2.0,52.08,2.0,0.0496
Plot  Area,Ready To Move,Kadugodi,4 Bedroom,GrrvaGr,2760.0,4.0,2.0,290.0,4.0,0.10507246376811594
Built-up  Area,Ready To Move,Sarjapura - Attibele Road,3 BHK,GrrvaGr,1330.0,2.0,1.0,49.0,3.0,0.03684210526315789
Plot  Area,18-May,Ramagondanahalli,2 Bedroom,GrrvaGr,845.0,2.0,1.0,45.82,2.0,0.05422485207100592
Super built-up  Area,18-Mar,Kadugodi,3 BHK,Alestrb,1762.0,3.0,3.0,112.0,3.0,0.06356413166855845
Super built-up  Area,Ready To Move,Ambalipura,2 BHK,Dimes E,1303.0,2.0,2.0,80.0,2.0,0.06139677666922486
Super built-up  Area,Ready To Move,Banagiri Nagar,3 BHK,GrrvaGr,1560.0,2.0,2.0,125.0,3.0,0.08012820512820513
Super built-up  Area,19-Jan,Chandapura,3 BHK,SuVue S,1110.0,2.0,2.0,29.97,3.0,0.027
Super built-up  Area,18-May,Doddabanahalli,3 BHK,GrrvaGr,1290.0,3.0,2.0,45.33,3.0,0.03513953488372093
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,Loals P,1237.5,2.0,0.0,49.49,2.0,0.0399919191919192
Super built-up  Area,18-Mar,9th Phase JP Nagar,3 BHK,HMigond,1780.0,3.0,2.0,88.0,3.0,0.04943820224719101
Super built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,1636.0,3.0,2.0,83.0,3.0,0.050733496332518335
Built-up  Area,18-May,Hennur,4 Bedroom,Asoilul,2557.0,2.0,2.0,170.0,4.0,0.06648416112631991
Built-up  Area,Ready To Move,Sector 2 HSR Layout,2 BHK,DShtsow,1332.0,2.0,2.0,101.0,2.0,0.07582582582582582
Super built-up  Area,Ready To Move,Sadashiva Nagar,5 BHK,GrrvaGr,7500.0,5.0,2.0,1500.0,5.0,0.2
Built-up  Area,Ready To Move,Kodbisanhalli,2 BHK,Seityen,1012.0,2.0,2.0,59.0,2.0,0.058300395256917
Super built-up  Area,Ready To Move,Kengeri,2 BHK,Reunee ,1192.0,2.0,2.0,53.5,2.0,0.04488255033557047
Super built-up  Area,Ready To Move,Abbigere,2 BHK,SLtias ,795.0,2.0,1.0,32.54,2.0,0.04093081761006289
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,GrrvaGr,1213.0,2.0,2.0,48.0,2.0,0.03957131079967024
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,CoLeoen,1489.0,3.0,2.0,88.0,3.0,0.05910006715916723
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,Ahownve,1200.0,2.0,2.0,62.0,2.0,0.051666666666666666
Super built-up  Area,18-Apr,Devanahalli,3 BHK,Brrds O,1200.0,2.0,1.0,55.08,3.0,0.045899999999999996
Super built-up  Area,18-Aug,Ananth Nagar,2 BHK,GrrvaGr,1200.0,2.0,1.0,36.0,2.0,0.03
Plot  Area,Ready To Move,Vidyaranyapura,5 Bedroom,GrrvaGr,2640.0,6.0,1.0,225.0,5.0,0.08522727272727272
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,GrrvaGr,1650.0,3.0,1.0,94.0,3.0,0.05696969696969697
Plot  Area,Ready To Move,Bharathnagar,2 Bedroom,GrrvaGr,1245.0,2.0,1.0,120.0,2.0,0.0963855421686747
Super built-up  Area,Ready To Move,Ardendale,2 BHK,AWharde,1224.0,2.0,2.0,67.0,2.0,0.05473856209150327
Super built-up  Area,18-Aug,Gunjur,2 BHK,BMineis,1235.0,2.0,2.0,52.76,2.0,0.04272064777327935
Super built-up  Area,Ready To Move,Yelenahalli,2 BHK,GrrvaGr,1200.0,2.0,2.0,45.6,2.0,0.038
Built-up  Area,Ready To Move,Yelahanka,3 BHK,NCs 2rj,1342.0,2.0,2.0,75.0,3.0,0.05588673621460507
Plot  Area,Ready To Move,9th Phase JP Nagar,3 Bedroom,GrrvaGr,600.0,3.0,2.0,79.0,3.0,0.13166666666666665
Built-up  Area,Ready To Move,TC Palaya,2 BHK,GilomSh,1800.0,2.0,2.0,80.0,2.0,0.044444444444444446
Plot  Area,Ready To Move,Rajaji Nagar,4 Bedroom,GrrvaGr,2440.0,2.0,0.0,415.0,4.0,0.17008196721311475
Super built-up  Area,Ready To Move,Abbigere,2 BHK,SLtias ,1130.0,2.0,1.0,46.33,2.0,0.041
Built-up  Area,Ready To Move,Somasundara Palya,2 BHK,ManceEl,1186.0,2.0,3.0,72.0,2.0,0.06070826306913996
Super built-up  Area,Ready To Move,Hennur,2 BHK,Shateor,1295.0,2.0,1.0,64.0,2.0,0.04942084942084942
Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,Srier P,1535.0,3.0,2.0,85.0,3.0,0.05537459283387622
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,SNity S,905.0,2.0,1.0,65.0,2.0,0.0718232044198895
Super built-up  Area,18-Jul,Bhoganhalli,2 BHK,Rosha I,1447.0,2.0,1.0,75.97,2.0,0.05250172771250864
Super built-up  Area,Ready To Move,Hormavu,2 BHK,Nadhian,1165.0,2.0,1.0,40.0,2.0,0.034334763948497854
Super built-up  Area,19-Jul,Kanakpura Road,2 BHK,Soazak ,1328.0,2.0,2.0,107.0,2.0,0.08057228915662651
Super built-up  Area,Ready To Move,Gandhi Bazar,3 BHK,GrrvaGr,1485.0,2.0,3.0,110.0,3.0,0.07407407407407407
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,GrrvaGr,1475.0,2.0,3.0,59.0,3.0,0.04
Super built-up  Area,Ready To Move,Vidyaranyapura,2 BHK,AuRISa ,1175.0,2.0,2.0,35.0,2.0,0.029787234042553193
Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,Prtanha,1245.0,2.0,2.0,100.0,2.0,0.08032128514056225
Plot  Area,Ready To Move,Vishwanatha Nagenahalli,4 Bedroom,GrrvaGr,720.0,4.0,1.0,95.0,4.0,0.13194444444444445
Super built-up  Area,20-Nov,Rachenahalli,2 BHK,AsNowre,985.0,2.0,1.0,49.97,2.0,0.05073096446700508
Plot  Area,Ready To Move,Koramangala,5 Bedroom,GrrvaGr,4000.0,5.0,0.0,800.0,5.0,0.2
Super built-up  Area,Ready To Move,Hoskote,3 BHK,VRiewke,1395.0,2.0,2.0,63.0,3.0,0.04516129032258064
Super built-up  Area,21-Dec,Hoodi,1 BHK,GoAirej,711.0,1.0,0.0,42.65,1.0,0.059985935302391
Super built-up  Area,18-Apr,Electronic City,1 BHK,Prarkun,630.0,1.0,1.0,40.5,1.0,0.06428571428571428
Super built-up  Area,Ready To Move,MS Pallya,4 BHK,GrrvaGr,2400.0,4.0,1.0,88.0,4.0,0.03666666666666667
Super built-up  Area,Ready To Move,Gottigere,2 BHK,GrrvaGr,1170.0,2.0,2.0,40.0,2.0,0.03418803418803419
Super built-up  Area,Ready To Move,Marathahalli,4 BHK,Prionad,2500.0,5.0,2.0,181.0,4.0,0.0724
Super built-up  Area,Ready To Move,Gubbalala,2 BHK,GrrvaGr,1100.0,2.0,2.0,49.5,2.0,0.045
Super built-up  Area,18-Mar,Hulimavu,4 BHK,Vapasrk,3560.0,5.0,3.0,318.0,4.0,0.08932584269662922
Plot  Area,Ready To Move,Margondanahalli,2 Bedroom,GrrvaGr,900.0,2.0,0.0,55.0,2.0,0.06111111111111111
Built-up  Area,18-Dec,Bommasandra Industrial Area,2 BHK,GrrvaGr,1160.0,2.0,1.0,33.51,2.0,0.028887931034482756
Super built-up  Area,18-Jan,Varthur,2 BHK,Muistry,1180.0,2.0,2.0,55.0,2.0,0.046610169491525424
Super built-up  Area,21-Jan,Tumkur Road,3 BHK,Sapus S,1441.0,2.0,1.0,95.0,3.0,0.0659264399722415
Super built-up  Area,Ready To Move,Channasandra Layout,2 BHK,Aconyit,1115.0,2.0,1.0,50.0,2.0,0.04484304932735426
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,Goandn ,1825.0,3.0,2.0,145.0,3.0,0.07945205479452055
Carpet  Area,Ready To Move,Challaghatta,2 BHK,GrrvaGr,1489.0,2.0,0.0,101.0,2.0,0.06783075889858965
Super built-up  Area,Ready To Move,Defence Colony,4 BHK,GrrvaGr,2800.0,4.0,3.0,365.0,4.0,0.13035714285714287
Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,Prldsri,1278.0,3.0,2.0,62.71,3.0,0.049068857589984353
Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,GrrvaGr,1223.0,2.0,2.0,42.81,3.0,0.03500408830744072
Super built-up  Area,Ready To Move,Hormavu,2 BHK,GrrvaGr,1065.0,2.0,1.0,50.92,2.0,0.04781220657276995
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Pae 1ov,1190.0,2.0,1.0,64.0,2.0,0.05378151260504202
Super built-up  Area,22-Jun,Koramangala,2 BHK,GrrvaGr,1130.0,2.0,2.0,63.0,2.0,0.05575221238938053
Super built-up  Area,18-Apr,Banashankari,2 BHK,Bregae ,1430.0,2.0,2.0,87.8,2.0,0.0613986013986014
Built-up  Area,Ready To Move,HRBR Layout,4 BHK,Aples M,1900.0,3.0,1.0,90.0,4.0,0.04736842105263158
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,DSlesSp,1104.0,2.0,1.0,34.22,2.0,0.0309963768115942
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1240.0,2.0,2.0,45.88,2.0,0.037000000000000005
Built-up  Area,Ready To Move,Choodasandra,2 BHK,GRlpank,1140.0,2.0,2.0,62.0,2.0,0.054385964912280704
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,GrrvaGr,1194.0,2.0,2.0,47.0,2.0,0.03936348408710218
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,3 BHK,GrrvaGr,1464.0,3.0,2.0,56.0,3.0,0.03825136612021858
Super built-up  Area,Ready To Move,Sarjapur,4 BHK,Prldsum,3508.0,6.0,2.0,425.0,4.0,0.12115165336374002
Super built-up  Area,Ready To Move,KR Puram,3 BHK,KeureSi,1700.0,3.0,3.0,105.0,3.0,0.061764705882352944
Super built-up  Area,18-Dec,Old Airport Road,4 BHK,Jaades ,2658.0,5.0,3.0,189.0,4.0,0.07110609480812641
Super built-up  Area,Ready To Move,Canara Bank Colony,3 BHK,DencyRe,1600.0,2.0,1.0,90.0,3.0,0.05625
Super built-up  Area,Ready To Move,OMBR Layout,4 BHK,GrrvaGr,3400.0,4.0,2.0,275.0,4.0,0.08088235294117647
Super built-up  Area,18-Apr,Reliaable Tranquil Layout,3 BHK,Sariana,1508.0,3.0,1.0,75.0,3.0,0.04973474801061008
Built-up  Area,18-Jan,Balagere,1 BHK,Soresea,645.0,1.0,1.0,41.0,1.0,0.06356589147286822
Super built-up  Area,Ready To Move,Hormavu,2 BHK,GrrvaGr,1046.0,2.0,1.0,60.0,2.0,0.05736137667304015
Plot  Area,Ready To Move,Munnekollal,10 Bedroom,GrrvaGr,1200.0,8.0,3.0,230.0,10.0,0.19166666666666668
Built-up  Area,Ready To Move,5th Block Jayanagar,1 Bedroom,GrrvaGr,1500.0,1.0,1.0,300.0,1.0,0.2
Built-up  Area,Ready To Move,Mahalakshmi Puram,6 Bedroom,GrrvaGr,3000.0,6.0,3.0,300.0,6.0,0.1
Super built-up  Area,18-May,Hosa Road,2 BHK,SStusan,1079.0,2.0,1.0,32.37,2.0,0.03
Super built-up  Area,Ready To Move,Thubarahalli,2 BHK,Soowsa ,975.0,2.0,1.0,50.0,2.0,0.05128205128205128
Built-up  Area,Ready To Move,ISRO Layout,2 BHK,Foinade,1050.0,2.0,1.0,51.0,2.0,0.04857142857142857
Super built-up  Area,Ready To Move,"Jayanagar, ",3 BHK,GrrvaGr,1903.0,3.0,2.0,165.0,3.0,0.08670520231213873
Built-up  Area,Ready To Move,Bommenahalli,3 Bedroom,Prood G,1276.0,3.0,1.0,232.0,3.0,0.18181818181818182
Super built-up  Area,Ready To Move,Asthagrama Layout,2 BHK,GrrvaGr,1200.0,2.0,2.0,38.0,2.0,0.03166666666666667
Super built-up  Area,Ready To Move,Avalahalli,4 BHK,Sohea A,2996.0,4.0,3.0,200.0,4.0,0.06675567423230974
Built-up  Area,Ready To Move,Manayata Tech Park,4 BHK,GrrvaGr,3400.0,4.0,2.0,200.0,4.0,0.058823529411764705
Plot  Area,Ready To Move,Whitefield,4 Bedroom,PrOakSi,2000.0,4.0,1.0,312.0,4.0,0.156
Plot  Area,Ready To Move,Jigani,4 Bedroom,GrrvaGr,1453.0,4.0,1.0,160.0,4.0,0.11011699931176876
Super built-up  Area,Ready To Move,Parappana Agrahara,2 BHK,GrrvaGr,1092.0,2.0,2.0,43.0,2.0,0.039377289377289376
Super built-up  Area,Ready To Move,Hormavu,2 BHK,SyavuHo,1400.0,2.0,0.0,75.0,2.0,0.05357142857142857
Super built-up  Area,Ready To Move,Bommanahalli,3 BHK,Rerelve,1416.0,2.0,1.0,85.0,3.0,0.06002824858757062
Built-up  Area,Ready To Move,ITI Layout,3 BHK,BMityre,1602.0,2.0,1.0,75.0,3.0,0.04681647940074907
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Music C,1100.0,2.0,1.0,41.0,2.0,0.03727272727272727
Super built-up  Area,Ready To Move,Kothanur,3 BHK,Somumys,1760.0,3.0,2.0,110.0,3.0,0.0625
Super built-up  Area,Ready To Move,Marathahalli,4 BHK,PueraRi,3800.0,4.0,3.0,235.0,4.0,0.06184210526315789
Super built-up  Area,Ready To Move,Vasanthapura,2 BHK,GrrvaGr,1037.0,2.0,1.0,36.28,2.0,0.03498553519768563
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,IBityin,1384.0,2.0,2.0,76.18,3.0,0.05504335260115607
Super built-up  Area,22-Jan,Vajarahalli,1 BHK,GrrvaGr,551.0,1.0,1.0,30.0,1.0,0.0544464609800363
Plot  Area,Ready To Move,7th Phase JP Nagar,1 Bedroom,GrrvaGr,500.0,1.0,0.0,70.0,1.0,0.14
Super built-up  Area,18-Apr,Sarjapur,2 BHK,SNityVe,900.0,2.0,2.0,27.98,2.0,0.031088888888888888
Plot  Area,Ready To Move,Anandapura,3 Bedroom,GrrvaGr,1415.0,2.0,1.0,74.0,3.0,0.052296819787985865
Super built-up  Area,18-Mar,Rajarajesheari nagar,2 BHK,GrrvaGr,1400.0,2.0,1.0,44.8,2.0,0.032
Plot  Area,Ready To Move,Devara Jeevanahalli,7 Bedroom,GrrvaGr,1300.0,4.0,1.0,52.0,7.0,0.04
Built-up  Area,Ready To Move,Millers Road,3 BHK,GrrvaGr,2850.0,4.0,3.0,460.0,3.0,0.16140350877192983
Built-up  Area,Ready To Move,Kudlu,2 BHK,MJinala,1030.0,2.0,2.0,75.0,2.0,0.07281553398058252
Built-up  Area,Ready To Move,Kambipura,2 BHK,Prrtht ,883.0,2.0,1.0,39.0,2.0,0.044167610419026046
Super built-up  Area,Ready To Move,Celebrity Paradise Layout,1 BHK,GrrvaGr,550.0,1.0,1.0,16.0,1.0,0.02909090909090909
Super built-up  Area,Ready To Move,Anjanapura,4 BHK,GrrvaGr,1800.0,4.0,2.0,55.0,4.0,0.030555555555555555
Plot  Area,Ready To Move,Yemlur,5 Bedroom,Epllan ,10000.0,5.0,2.0,1950.0,5.0,0.195
Super built-up  Area,Ready To Move,Old Madras Road,2 BHK,Brglede,1210.0,2.0,1.0,77.0,2.0,0.06363636363636363
Plot  Area,Ready To Move,Vishveshwarya Layout,4 Bedroom,GrrvaGr,2000.0,3.0,0.0,90.0,4.0,0.045
Super built-up  Area,21-Oct,Kanakpura Road,3 BHK,PrarePa,1100.0,3.0,1.0,58.0,3.0,0.05272727272727273
Super built-up  Area,Ready To Move,Lavakusha Nagar,3 BHK,GrrvaGr,1780.0,3.0,1.0,100.0,3.0,0.056179775280898875
Plot  Area,Ready To Move,2nd Block Hbr Layout,5 Bedroom,GrrvaGr,950.0,5.0,2.0,55.0,5.0,0.05789473684210526
Built-up  Area,Ready To Move,Panathur,2 BHK,GrrvaGr,1050.0,2.0,2.0,60.0,2.0,0.05714285714285714
Super built-up  Area,Ready To Move,Hosur Road,3 BHK,Collsrn,1370.0,3.0,3.0,38.36,3.0,0.028
Super built-up  Area,Ready To Move,Marathahalli,4 BHK,PueraRi,3951.0,4.0,3.0,230.0,4.0,0.05821311060491015
Super built-up  Area,Ready To Move,Bellandur,3 BHK,BhreeBa,2500.0,4.0,2.0,112.0,3.0,0.0448
Built-up  Area,Ready To Move,Sri Venkateshpura Layout,2 BHK,GrrvaGr,1050.0,2.0,1.0,49.5,2.0,0.047142857142857146
Super built-up  Area,Ready To Move,Anjanapura,3 BHK,GrrvaGr,1843.0,3.0,1.0,87.54,3.0,0.047498643516006515
Plot  Area,Ready To Move,3rd Block Banashankari,4 Bedroom,GrrvaGr,1200.0,4.0,1.0,175.0,4.0,0.14583333333333334
Super built-up  Area,Ready To Move,Somasundara Palya,2 BHK,ManceEl,1186.0,2.0,1.0,76.0,2.0,0.06408094435075885
Super built-up  Area,18-Aug,Haralur Road,1 BHK,SNnia E,560.0,1.0,1.0,45.0,1.0,0.08035714285714286
Super built-up  Area,Ready To Move,Narayanapura,3 BHK,AriosHe,2357.0,3.0,2.0,135.0,3.0,0.057276198557488334
Plot  Area,Ready To Move,Mahalakshmi Layout,4 Bedroom,GrrvaGr,1200.0,3.0,1.0,160.0,4.0,0.13333333333333333
Super built-up  Area,20-Jan,Yelahanka,3 BHK,Aduil T,1823.0,3.0,2.0,103.0,3.0,0.05650027427317608
Built-up  Area,Ready To Move,Rajasree Layout,3 BHK,Itbhaa ,1310.0,3.0,3.0,90.0,3.0,0.06870229007633588
Super built-up  Area,Ready To Move,Varthur,3 BHK,CaestSr,1520.0,2.0,2.0,60.0,3.0,0.039473684210526314
Super built-up  Area,18-Jul,Bhoganhalli,3 BHK,Rosha I,1610.0,3.0,1.0,74.03,3.0,0.04598136645962733
Plot  Area,18-Aug,Whitefield,3 Bedroom,GrrvaGr,1500.0,3.0,1.0,78.57,3.0,0.052379999999999996
Super built-up  Area,Ready To Move,LB Shastri Nagar,3 BHK,MCrds S,1400.0,2.0,2.0,80.0,3.0,0.05714285714285714
Super built-up  Area,Ready To Move,HRBR Layout,3 BHK,GrrvaGr,1625.0,3.0,2.0,120.0,3.0,0.07384615384615385
Plot  Area,Ready To Move,Chikkalasandra,5 Bedroom,GrrvaGr,1500.0,5.0,3.0,265.0,5.0,0.17666666666666667
Built-up  Area,Ready To Move,Hessarghatta,2 BHK,GrrvaGr,900.0,2.0,1.0,24.0,2.0,0.02666666666666667
Built-up  Area,Ready To Move,Talaghattapura,2 BHK,GrrvaGr,1100.0,2.0,0.0,32.0,2.0,0.02909090909090909
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,GrrvaGr,1000.0,2.0,1.0,50.0,2.0,0.05
Super built-up  Area,18-Dec,Old Airport Road,4 BHK,Jaades ,2774.0,4.0,3.0,197.0,4.0,0.07101658255227108
Super built-up  Area,Ready To Move,Yeshwanthpur,1 BHK,Vaarai ,994.0,2.0,0.0,54.67,1.0,0.055
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,ARncy R,1455.0,3.0,3.0,75.0,3.0,0.05154639175257732
Plot  Area,Ready To Move,Chandapura,5 Bedroom,Arncyd ,1200.0,3.0,1.0,79.0,5.0,0.06583333333333333
Built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,RothaVa,1172.0,2.0,1.0,75.0,2.0,0.06399317406143344
Super built-up  Area,Ready To Move,Hennur,3 BHK,GrrvaGr,1935.0,3.0,2.0,102.0,3.0,0.05271317829457364
Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,Ameur G,1856.0,3.0,3.0,106.0,3.0,0.057112068965517244
Super built-up  Area,Ready To Move,Old Airport Road,3 BHK,GrrvaGr,2392.0,3.0,2.0,249.0,3.0,0.10409698996655518
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,Gaent R,900.0,2.0,2.0,35.0,2.0,0.03888888888888889
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,ChionCo,1757.0,3.0,3.0,98.0,3.0,0.055776892430278883
Super built-up  Area,Ready To Move,Kudlu,2 BHK,GrrvaGr,1027.0,2.0,2.0,44.0,2.0,0.042843232716650435
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Nillsre,1626.0,3.0,3.0,85.0,3.0,0.05227552275522755
Super built-up  Area,Ready To Move,Dr Shivarama Karantha Nagar,2 BHK,GrrvaGr,1200.0,2.0,1.0,54.0,2.0,0.045
Super built-up  Area,19-Dec,Hoodi,3 BHK,Caycend,1559.0,3.0,1.0,81.55,3.0,0.05230917254650417
Super built-up  Area,Ready To Move,Amruthahalli,2 BHK,GrrvaGr,1190.0,2.0,2.0,50.0,2.0,0.04201680672268908
Super built-up  Area,Ready To Move,KR Puram,2 BHK,SVlesas,1200.0,2.0,1.0,72.0,2.0,0.06
Super built-up  Area,Ready To Move,Harlur,2 BHK,Prncyrn,1174.0,2.0,1.0,74.0,2.0,0.06303236797274275
Built-up  Area,Ready To Move,Kanakpura Road,2 BHK,GrrvaGr,1140.0,2.0,1.0,65.0,2.0,0.05701754385964912
Built-up  Area,Ready To Move,Vibuthipura,3 BHK,Tantsod,1603.0,2.0,0.0,125.0,3.0,0.07797878976918278
Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,Prldsri,1278.0,3.0,2.0,70.0,3.0,0.054773082942097026
Super built-up  Area,Ready To Move,Krishna Reddy Layout,3 BHK,RahtsHe,2180.0,3.0,2.0,285.0,3.0,0.13073394495412843
Super built-up  Area,Ready To Move,Banashankari Stage III,2 BHK,DatroGo,1085.0,2.0,1.0,50.0,2.0,0.04608294930875576
Super built-up  Area,19-Jun,Whitefield,2 BHK,Pae 2ov,1195.0,2.0,1.0,61.36,2.0,0.05134728033472803
Plot  Area,Ready To Move,Kamakshipalya,1 Bedroom,GrrvaGr,450.0,1.0,0.0,30.0,1.0,0.06666666666666667
Super built-up  Area,19-Jan,Rajaji Nagar,4 BHK,GrrvaGr,6500.0,5.0,2.0,1400.0,4.0,0.2153846153846154
Super built-up  Area,Ready To Move,Kenchenahalli,2 BHK,AriosPa,1165.0,2.0,2.0,45.0,2.0,0.03862660944206009
Super built-up  Area,Ready To Move,1st Stage Indira Nagar,4 BHK,GrrvaGr,3000.0,4.0,2.0,301.0,4.0,0.10033333333333333
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1452.0,3.0,3.0,60.0,3.0,0.04132231404958678
Super built-up  Area,18-Jan,Sarjapur  Road,1 BHK,SJityaz,702.0,1.0,1.0,52.0,1.0,0.07407407407407407
Super built-up  Area,Ready To Move,Banashankari,2 BHK,GrrvaGr,1020.0,2.0,1.0,42.83,2.0,0.04199019607843137
Super built-up  Area,18-May,Devanahalli,2 BHK,Derdsig,1340.0,2.0,1.0,65.0,2.0,0.048507462686567165
Super built-up  Area,18-Apr,Marathahalli,2 BHK,GrrvaGr,1125.0,2.0,1.0,54.8,2.0,0.04871111111111111
Super built-up  Area,Ready To Move,JCR Layout,2 BHK,ARnamru,1160.0,2.0,1.0,40.53,2.0,0.03493965517241379
Built-up  Area,Ready To Move,Vidyaranyapura,2 BHK,DSestil,1050.0,2.0,1.0,50.0,2.0,0.047619047619047616
Super built-up  Area,19-Dec,JP Nagar,3 BHK,Shestut,1960.0,3.0,1.0,138.0,3.0,0.07040816326530612
Built-up  Area,Ready To Move,Ganga Nagar,2 BHK,GrrvaGr,1200.0,3.0,2.0,52.0,2.0,0.043333333333333335
Plot  Area,Ready To Move,Judicial Layout,3 Bedroom,GrrvaGr,1200.0,4.0,1.0,220.0,3.0,0.18333333333333332
Super built-up  Area,18-Dec,Old Airport Road,4 BHK,Jaades ,3496.0,4.0,2.0,262.0,4.0,0.07494279176201372
Super built-up  Area,Ready To Move,Electronic City,2 BHK,MavanK ,975.0,2.0,1.0,32.0,2.0,0.03282051282051282
Super built-up  Area,Ready To Move,Kudlu,3 BHK,MJinala,1700.0,3.0,3.0,125.0,3.0,0.07352941176470588
Built-up  Area,Ready To Move,8th Phase JP Nagar,4 Bedroom,GrrvaGr,1800.0,4.0,0.0,230.0,4.0,0.12777777777777777
Plot  Area,Ready To Move,Madavara,4 Bedroom,GrrvaGr,612.0,3.0,0.0,47.0,4.0,0.07679738562091504
Built-up  Area,Ready To Move,Brooke Bond First Cross,2 BHK,Viium E,1275.0,2.0,3.0,69.0,2.0,0.05411764705882353
Built-up  Area,Ready To Move,Yeshwanthpur,1 BHK,GrrvaGr,650.0,1.0,0.0,40.0,1.0,0.06153846153846154
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,HMonymp,1495.0,2.0,2.0,110.0,2.0,0.07357859531772576
Super built-up  Area,Ready To Move,Hebbal,2 BHK,Srntsha,1200.0,2.0,2.0,48.0,2.0,0.04
Plot  Area,Ready To Move,Sarjapura - Attibele Road,5 Bedroom,GrrvaGr,3750.0,6.0,2.0,295.0,5.0,0.07866666666666666
Super built-up  Area,19-Mar,Hennur Road,3 BHK,Puachal,1679.0,3.0,2.0,94.86,3.0,0.05649791542584872
Super built-up  Area,Ready To Move,Kaval Byrasandra,3 BHK,GrrvaGr,1450.0,3.0,2.0,75.0,3.0,0.05172413793103448
Super built-up  Area,18-Nov,Balagere,2 BHK,Soresea,1210.0,2.0,1.0,82.0,2.0,0.06776859504132231
Super built-up  Area,18-May,Dwaraka Nagar,3 BHK,GrrvaGr,1300.0,2.0,1.0,51.0,3.0,0.03923076923076923
Super built-up  Area,Ready To Move,Judicial Layout,2 BHK,GrrvaGr,1165.0,2.0,1.0,49.61,2.0,0.042583690987124466
Super built-up  Area,Ready To Move,Keshava Nagar,3 BHK,ETens G,1623.0,3.0,3.0,155.0,3.0,0.09550215650030808
Super built-up  Area,Ready To Move,Channasandra,2 BHK,Unm 2El,1115.0,2.0,1.0,35.8,2.0,0.032107623318385646
